"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 26 18:55:31 CST 2023","Mon Jun 26 18:55:31 CST 2023","146","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(vi_VN)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(vi_VN).TestDispatcher#test_api","00614_""滤镜包：名称"":2组数据比较"
"passed","Mon Jun 26 18:56:43 CST 2023","Mon Jun 26 18:56:44 CST 2023","1134","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(pt_PT)","TestDispatcher","","","https://cdn-bm.camera360.com/api/product/query","00914_值获取"
"passed","Mon Jun 26 18:57:41 CST 2023","Mon Jun 26 18:57:41 CST 2023","25","TestCase.C360_Android.C360_兼容接口滤镜包","兼容接口滤镜包详情(zh_CN)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.兼容接口滤镜包详情(zh_CN).TestDispatcher#test_api","01124_""子滤镜是否为Unity滤镜"":2组数据比较"
"passed","Mon Jun 26 18:55:56 CST 2023","Mon Jun 26 18:55:57 CST 2023","113","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(ko_）","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(ko_）.TestDispatcher#test_api","00717_""滤镜包：商品价格"":2组数据比较"
"passed","Mon Jun 26 18:56:34 CST 2023","Mon Jun 26 18:56:34 CST 2023","93","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(es_)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(es_).TestDispatcher#test_api","00844_"""":2组数据比较"
"passed","Mon Jun 26 18:57:30 CST 2023","Mon Jun 26 18:57:30 CST 2023","148","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(tr_TR)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(tr_TR).TestDispatcher#test_api","01021_""子滤镜：是否展示在新滤镜面板"":2组数据比较"
"passed","Mon Jun 26 18:53:07 CST 2023","Mon Jun 26 18:53:07 CST 2023","90","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(英文语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(英文语言环境).TestDispatcher#test_api","00153_""老UI滤镜分类：选择面板上需要展示"":2组数据比较"
"passed","Mon Jun 26 18:56:21 CST 2023","Mon Jun 26 18:56:21 CST 2023","106","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(in_）","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(in_）.TestDispatcher#test_api","00811_"""":2组数据比较"
"passed","Mon Jun 26 18:54:32 CST 2023","Mon Jun 26 18:54:32 CST 2023","105","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(pt_BR语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(pt_BR语言环境).TestDispatcher#test_api","00453_""滤镜包：锁定类型"":2组数据比较"
"passed","Mon Jun 26 18:53:46 CST 2023","Mon Jun 26 18:53:46 CST 2023","106","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(zh_HK语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(zh_HK语言环境).TestDispatcher#test_api","00322_""老UI滤镜分类：运营排期"":2组数据比较"
