"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 27 18:24:55 CST 2023","Tue Jun 27 18:24:55 CST 2023","268","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00032_""素材部分-9"":2组数据比较"
"failed","Tue Jun 27 18:23:35 CST 2023","Tue Jun 27 18:23:35 CST 2023","341","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00023_""素材部分-4"":2组数据比较"
"passed","Tue Jun 27 18:29:22 CST 2023","Tue Jun 27 18:29:22 CST 2023","37","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN2.TestDispatcher#test_api","00115_""统计贴纸数量"":2组数据比较"
"failed","Tue Jun 27 18:26:57 CST 2023","Tue Jun 27 18:26:57 CST 2023","38","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN1.TestDispatcher#test_api","00069_""zip链接"":2组数据比较"
"passed","Tue Jun 27 18:25:03 CST 2023","Tue Jun 27 18:25:03 CST 2023","22","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN1.TestDispatcher#test_api","00050_""详情部分-12"":2组数据比较"
"failed","Tue Jun 27 18:24:53 CST 2023","Tue Jun 27 18:24:54 CST 2023","323","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00027_""贴纸包vip状态"":2组数据比较"
"passed","Tue Jun 27 18:24:59 CST 2023","Tue Jun 27 18:25:00 CST 2023","53","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00042_""分类部分-1"":2组数据比较"
"failed","Tue Jun 27 18:18:34 CST 2023","Tue Jun 27 18:18:34 CST 2023","278","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00012_""sid"":2组数据比较"
"passed","Tue Jun 27 18:31:15 CST 2023","Tue Jun 27 18:31:15 CST 2023","39","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN3","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN3.TestDispatcher#test_api","00150_""详情部分-9"":2组数据比较"
"passed","Tue Jun 27 18:29:26 CST 2023","Tue Jun 27 18:29:27 CST 2023","30","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN3","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN3.TestDispatcher#test_api","00123_""详情部分-11"":2组数据比较"
